Date,Open,High,Low,Close,Volume,Adj Close
2016-02-12,9092.870117,9229.679688,9089.459961,9229.679688,4696920000,9229.679688
2016-02-11,9092.910156,9092.910156,8944.049805,9029.879883,5500800000,9029.879883
2016-02-10,9221.839844,9315.959961,9170.929688,9176.719727,4471170000,9176.719727
2016-02-09,9131.980469,9250.650391,9109.049805,9187.799805,5183220000,9187.799805
2016-02-08,9294.879883,9294.879883,9127.139648,9231.330078,5636460000,9231.330078
2016-02-05,9499.530273,9500.820312,9360.94043,9390.360352,4929940000,9390.360352
2016-02-04,9484.129883,9591.299805,9465.870117,9534.30957,5193320000,9534.30957
2016-02-03,9471.790039,9513.219727,9276.339844,9495.209961,5172950000,9495.209961
2016-02-02,9532.990234,9532.990234,9386.120117,9413.780273,4463190000,9413.780273
2016-02-01,9578.919922,9651.200195,9514.769531,9616.700195,4322530000,9616.700195
2016-01-29,9439.339844,9632.709961,9439.339844,9632.709961,5497570000,9632.709961
2016-01-28,9374.830078,9463.200195,9324.150391,9397.790039,4693010000,9397.790039
2016-01-27,9403.870117,9522.610352,9321.330078,9373.780273,4754040000,9373.780273
2016-01-26,9295.339844,9436.540039,9295.339844,9429.110352,4357940000,9429.110352
2016-01-25,9393.540039,9393.540039,9258.660156,9262.990234,4401380000,9262.990234
2016-01-22,9343.129883,9437.790039,9343.129883,9426.910156,4901760000,9426.910156
2016-01-21,9164.169922,9311.570312,9102.389648,9226.580078,5078810000,9226.580078
2016-01-20,9214.94043,9233.610352,8937.990234,9156.849609,6416070000,9156.849609
2016-01-19,9378.860352,9406.349609,9226.820312,9301.75,4928350000,9301.75
2016-01-15,9387.540039,9387.540039,9192.070312,9299.629883,5468460000,9299.629883
2016-01-14,9405.429688,9567.820312,9332.259766,9516.549805,5241110000,9516.549805
2016-01-13,9619.009766,9644.450195,9349.469727,9374.230469,5087030000,9374.230469
2016-01-12,9591.30957,9630.910156,9460.790039,9576.530273,4887260000,9576.530273
2016-01-11,9575.179688,9598.639648,9435.820312,9527.660156,4607290000,9527.660156
2016-01-08,9692.799805,9725.900391,9513.25,9528.769531,4664940000,9528.769531
2016-01-07,9751.349609,9791.169922,9627.05957,9650.419922,5076590000,9650.419922
2016-01-06,9907.379883,9925.900391,9821.330078,9868.259766,4336660000,9868.259766
2016-01-05,10007.009766,10039.959961,9959.820312,10028.05957,3706620000,10028.05957
2016-01-04,10020.049805,10020.049805,9891.070312,10001.55957,4304880000,10001.55957
2015-12-31,10186.44043,10223.070312,10142.339844,10143.419922,2655330000,10143.419922
2015-12-30,10277.530273,10283.959961,10218.709961,10225.830078,2367430000,10225.830078
2015-12-29,10270.379883,10318.419922,10270.379883,10306.610352,2542000000,10306.610352
2015-12-28,10225.990234,10225.990234,10169.089844,10217.410156,2492510000,10217.410156
2015-12-24,10266.05957,10290.360352,10242.639648,10258.549805,1411860000,10258.549805
2015-12-23,10180.620117,10277.969727,10180.620117,10276.280273,3484090000,10276.280273
2015-12-22,10052.339844,10132.580078,10015.980469,10112.400391,3520860000,10112.400391
2015-12-21,10017.129883,10054.419922,9961.049805,10023.030273,3760280000,10023.030273
2015-12-18,10072.980469,10072.980469,9966.820312,9967.639648,6683070000,9967.639648
2015-12-17,10267.830078,10267.830078,10112.570312,10112.629883,4327390000,10112.629883
2015-12-16,10164.839844,10282.240234,10139.589844,10267.830078,4635450000,10267.830078
2015-12-15,10057.330078,10149.120117,10057.330078,10110.94043,4353540000,10110.94043
2015-12-14,9977.820312,10013.860352,9880.419922,9986.759766,4612440000,9986.759766
2015-12-11,10074.080078,10075.429688,9956.709961,9976.650391,4301060000,9976.650391
2015-12-10,10165.459961,10242.790039,10155.570312,10172.040039,3715150000,10172.040039
2015-12-09,10191.349609,10316.969727,10115.769531,10162.370117,4385250000,10162.370117
2015-12-08,10214.290039,10254.75,10157.69043,10198.370117,4173570000,10198.370117
2015-12-07,10408.860352,10408.860352,10264.480469,10304.540039,4043820000,10304.540039
2015-12-04,10266.50,10417.759766,10264.959961,10408.860352,4214910000,10408.860352
2015-12-03,10415.55957,10422.780273,10227.360352,10257.379883,4306490000,10257.379883
2015-12-02,10501.099609,10511.120117,10376.450195,10389.200195,3950640000,10389.200195
2015-12-01,10447.05957,10523.790039,10446.580078,10519.589844,3712120000,10519.589844
2015-11-30,10455.480469,10460.330078,10409.459961,10409.589844,4245030000,10409.589844
2015-11-27,10442.610352,10463.969727,10425.55957,10450.530273,1466840000,10450.530273
2015-11-25,10449.679688,10471.280273,10430.139648,10450.360352,2852940000,10450.360352
2015-11-24,10379.269531,10472.790039,10358.030273,10449.719727,3884930000,10449.719727
2015-11-23,10433.629883,10469.620117,10402.459961,10421.410156,3587980000,10421.410156
2015-11-20,10460.25,10499.049805,10430.05957,10444.200195,3929600000,10444.200195
2015-11-19,10426.129883,10455.19043,10416.370117,10431.459961,3628110000,10431.459961
2015-11-18,10285.370117,10436.00,10285.370117,10429.599609,3926390000,10429.599609
2015-11-17,10320.05957,10368.379883,10266.55957,10285.759766,4427350000,10285.759766
2015-11-16,10143.379883,10299.459961,10141.549805,10299.400391,3741240000,10299.400391
2015-11-13,10206.540039,10228.889648,10145.650391,10155.070312,4278750000,10155.070312
2015-11-12,10335.00,10342.870117,10235.200195,10235.950195,4016370000,10235.950195
2015-11-11,10454.150391,10460.349609,10396.790039,10399.900391,3692410000,10399.900391
2015-11-10,10389.179688,10440.230469,10370.669922,10432.349609,3821440000,10432.349609
2015-11-09,10486.719727,10488.200195,10381.410156,10415.19043,3882350000,10415.19043
2015-11-06,10525.650391,10531.110352,10441.839844,10513.360352,4369020000,10513.360352
2015-11-05,10563.929688,10588.129883,10501.30957,10548.360352,4051890000,10548.360352
2015-11-04,10629.589844,10638.69043,10536.480469,10563.959961,4078870000,10563.959961
2015-11-03,10556.360352,10641.620117,10542.209961,10609.919922,4272060000,10609.919922
2015-11-02,10474.580078,10591.25,10473.839844,10579.870117,3760020000,10579.870117
2015-10-30,10509.150391,10531.429688,10460.830078,10460.959961,4256200000,10460.959961
2015-10-29,10504.349609,10514.44043,10466.209961,10498.160156,4008940000,10498.160156
2015-10-28,10428.030273,10538.219727,10409.459961,10538.200195,4698110000,10538.200195
2015-10-27,10420.75,10427.75,10364.919922,10400.179688,4216880000,10400.179688
2015-10-26,10495.910156,10495.910156,10458.05957,10464.620117,3385800000,10464.620117
2015-10-23,10486.94043,10519.830078,10450.44043,10506.509766,4108460000,10506.509766
2015-10-22,10342.75,10467.110352,10342.75,10448.830078,4430850000,10448.830078
2015-10-21,10403.740234,10410.990234,10299.049805,10306.44043,3627790000,10306.44043
2015-10-20,10377.240234,10427.339844,10361.410156,10383.419922,3331500000,10383.419922
2015-10-19,10385.459961,10399.269531,10353.009766,10391.599609,3287320000,10391.599609
2015-10-16,10407.280273,10424.990234,10365.69043,10421.910156,3595430000,10421.910156
2015-10-15,10259.509766,10380.839844,10244.990234,10378.269531,3746290000,10378.269531
2015-10-14,10267.50,10303.700195,10214.990234,10229.669922,3644590000,10229.669922
2015-10-13,10298.570312,10360.780273,10254.419922,10262.94043,3401920000,10262.94043
2015-10-12,10356.330078,10367.700195,10329.009766,10356.490234,2893250000,10356.490234
2015-10-09,10376.69043,10400.150391,10331.030273,10361.259766,3706900000,10361.259766
2015-10-08,10238.120117,10375.110352,10222.070312,10361.040039,3939140000,10361.040039
2015-10-07,10212.349609,10284.259766,10168.009766,10258.519531,4666470000,10258.519531
2015-10-06,10167.50,10205.110352,10124.919922,10156.379883,4202400000,10156.379883
2015-10-05,10035.860352,10176.980469,10035.860352,10167.929688,4334490000,10167.929688
2015-10-02,9755.780273,9973.55957,9697.269531,9973.55957,4378570000,9973.55957
2015-10-01,9832.330078,9865.049805,9720.849609,9820.950195,3983600000,9820.950195
2015-09-30,9698.929688,9803.639648,9689.19043,9799.69043,4525070000,9799.69043
2015-09-29,9612.629883,9670.299805,9565.240234,9622.070312,4132390000,9622.070312
2015-09-28,9803.400391,9803.400391,9590.450195,9601.419922,4326660000,9601.419922
2015-09-25,9913.629883,9948.769531,9814.570312,9857.259766,3721870000,9857.259766
2015-09-24,9813.160156,9859.879883,9727.00,9837.80957,4091530000,9837.80957
2015-09-23,9923.730469,9941.469727,9847.089844,9867.900391,3190530000,9867.900391
2015-09-22,9970.259766,9970.259766,9855.69043,9912.599609,3808260000,9912.599609
2015-09-21,10049.360352,10132.05957,10026.139648,10066.070312,3269350000,10066.070312
2015-09-18,10118.219727,10130.900391,10009.30957,10031.599609,6021240000,10031.599609
2015-09-17,10217.049805,10362.259766,10200.620117,10215.540039,4183790000,10215.540039
2015-09-16,10139.089844,10244.69043,10138.290039,10236.719727,3630680000,10236.719727
2015-09-15,10008.629883,10123.280273,9996.830078,10105.870117,3239860000,10105.870117
2015-09-14,10026.549805,10026.549805,9964.519531,9988.589844,3000200000,9988.589844
2015-09-11,9987.480469,10040.269531,9942.950195,10040.219727,3218590000,10040.219727
2015-09-10,9985.030273,10078.339844,9957.349609,10019.389648,3626320000,10019.389648
2015-09-09,10193.040039,10219.55957,9972.80957,9988.910156,3652120000,9988.910156
2015-09-08,9974.780273,10113.259766,9974.780273,10109.679688,3548650000,10109.679688
2015-09-04,9955.370117,9955.370117,9825.200195,9871.860352,3167090000,9871.860352
2015-09-03,10044.349609,10150.830078,10018.009766,10049.290039,3520700000,10049.290039
2015-09-02,9963.139648,10013.360352,9884.150391,10013.360352,3742620000,10013.360352
2015-09-01,10176.50,10176.50,9821.370117,9874.669922,4371850000,9874.669922
2015-08-31,10198.320312,10226.169922,10120.480469,10176.50,3915100000,10176.50
2015-08-28,10199.160156,10256.839844,10180.240234,10242.05957,3949080000,10242.05957
2015-08-27,10044.360352,10248.379883,10044.360352,10230.509766,5006390000,10230.509766
